Port of Vancouver;USVAN;-122.7554085630339 45.65296504208195,-122.7449801370033 45.67042111774225,-122.5970938607582 45.63680771764353,-122.6066925910067 45.60685924701357,-122.6459458188851 45.60894077808391,-122.6903560545993 45.62464983481374,-122.7463963407438 45.64650511277824,-122.7554085630339 45.65296504208195
TOMPKINSVILLE SI;USTPM;-74.06673353459045 40.63831810169322,-74.06657617745513 40.63220632507046,-74.08335607836197 40.63203262485581,-74.08355634953186 40.63789474619233,-74.06673353459045 40.63831810169322
Shinmoji;JPSMJ;130.987024636311 33.89639649279951,131.0128518574177 33.89361147034249,130.9950614984385 33.83322543839471,130.9715751123852 33.83795679659561,130.987024636311 33.89639649279951
Port of Chongming;CNCMG;121.3698551822569 31.62936628733209,121.3735203283537 31.6343104711115,121.4143416094795 31.61895989485022,121.5072448961979 31.57553765135549,121.5564258806949 31.54712484214062,121.5536220816972 31.54234585904767,121.5292704095758 31.55282580220238,121.5030919054548 31.5700570372843,121.4401223001335 31.59377898268677,121.4252903850504 31.60244995200313,121.3858940990396 31.61804382247186,121.3698551822569 31.62936628733209
Port of Portbury;GBPRU;-2.704563962209313 51.49363066326163,-2.721687187834569 51.48128473836061,-2.733546127085965 51.49340800275132,-2.733317243503798 51.50165461263543,-2.728896963047255 51.50267865570166,-2.722030507314294 51.50175256568602,-2.717882024474485 51.50114703506867,-2.711630689766999 51.49611547772926,-2.704563962209313 51.49363066326163
Penn Terminals;USESX;-75.34287179599116 39.84884826227861,-75.34384277993513 39.85007656015796,-75.33824232751203 39.85189686495693,-75.33725527459454 39.85093729853372,-75.34287179599116 39.84884826227861
Port of Vlaardingen;NLVLA;4.345061237557737 51.89893837858224,4.342972689931693 51.9094412529183,4.343773777230589 51.91228278637442,4.367205557804036 51.90834695080088,4.367995913647527 51.90123774685918,4.355091309845632 51.90053761737525,4.345061237557737 51.89893837858224
Yangshan;CNYSN;122.0089092305579 30.66474384930574,122.0407238022608 30.6521429391408,122.1378841416162 30.6019198693926,122.1289577500146 30.58389228900323,122.0846691147608 30.59827521807203,121.9997539606128 30.65381658951448,122.0089092305579 30.66474384930574
Port of Beilun;CNBEI;121.7516790083643 29.96962534430217,121.7660577197022 29.98433834718577,121.8061692623234 29.97169918460573,121.8251092359934 29.95682752278819,121.8691689824265 29.94259821634958,121.9110543584031 29.93754062082442,121.9624495127159 29.96498211795539,121.970403158261 29.9636932407994,122.0224509247834 29.90870206933461,122.0497037287939 29.89470932882875,122.0825482687585 29.89971949912662,122.1016599090442 29.91092945745422,122.1153928192004 29.91370694933401,122.1231747981298 29.91256620400642,122.1211515085338 29.89995574059657,122.0561490531577 29.88368421169316,122.0136914865611 29.87554746032251,121.9333539516697 29.88527178820978,121.9082770746059 29.91991944532441,121.8522153320987 29.93055685651574,121.7516790083643 29.96962534430217
MAASSLUIS;NLMSL;4.227327005067161 51.92978448571526,4.232956065974169 51.93342737665236,4.276386394341653 51.91521879102328,4.268539413442052 51.90882460282586,4.246495237675435 51.91590614179577,4.227327005067161 51.92978448571526
Schiedam Harbour;NLSCI;4.377999830509904 51.9153935175583,4.401689100528523 51.92158735875395,4.44173627275284 51.90708077950543,4.439905214572881 51.90330335846286,4.426773119235968 51.90370935922337,4.416044283176396 51.90272083076883,4.398134280387402 51.89894304467796,4.391468097788837 51.89825453522283,4.371612596993308 51.90127330608132,4.377999830509904 51.9153935175583
Port of Marcus Hook;USMAH;-75.43393083493842 39.80077984208964,-75.4353499388197 39.80391969890215,-75.39685491366393 39.8222916890191,-75.39500730245507 39.82035246162025,-75.40092323821347 39.81467821256032,-75.41581439978093 39.80685708503606,-75.41711258894415 39.80636256529738,-75.41233122427624 39.79847550002145,-75.41612923224133 39.79666202255814,-75.41188061316174 39.7925897671073,-75.40925908094854 39.79338839360329,-75.41711122165115 39.80635991984499,-75.42614490161334 39.80273333293763,-75.43393083493842 39.80077984208964
JERSEY CITY;USJEC;-74.07310617704395 40.75591385495042,-74.04890992402142 40.7417946573035,-74.09553028948645 40.69290933335097,-74.11195256470742 40.69898301286389,-74.1093204270866 40.71598637201717,-74.10034311639363 40.72155457568593,-74.09665239678914 40.73354440186711,-74.0923608623653 40.73788015608349,-74.07310617704395 40.75591385495042
Susaki;JPSUZ;133.2640368015895 33.3805364638857,133.282490399612 33.41558332968741,133.3149500006734 33.40802795026694,133.2998906229081 33.37437900079267,133.2640368015895 33.3805364638857
Port of Paulsboro;USPAU;-75.24249764605777 39.86037053109405,-75.23076029940859 39.86625045986716,-75.22878619357364 39.86420818877977,-75.24099560900943 39.85897047378504,-75.24244400187746 39.860403473275,-75.26063030789368 39.84779968530947,-75.23964820176408 39.85298599179066,-75.22646279677124 39.85555031715387,-75.2230510269043 39.85223931476904,-75.27094455107425 39.83958684959276,-75.27266116484378 39.8457815770015,-75.26063030789368 39.84779556678149,-75.24249764605777 39.86037053109405
BERKELEY;USJBK;-122.33722748780987 37.86333751838679,-122.33722748780987 37.892144934484584,-122.26784451144546 37.892144934484584,-122.26784451144546 37.84670801480234,-122.31250050445807 37.8558223369673,-122.33464640660263 37.86034233245195,-122.33722748780987 37.86333751838679
Port of Dongjiangkou;CNDJK;119.7398806957729 35.55601944812526,119.7410359698143 35.62153642294631,119.8065943237565 35.63358372366653,119.8152577821307 35.57282361755335,119.7398806957729 35.55601944812526
HOEK VAN HOLLAND;NLHVH;4.117990652684408 51.97772726857596,4.124286533088425 51.98330700721823,4.172764941412775 51.95934273055548,4.167643708587444 51.95474982511314,4.155473086089002 51.96199652852798,4.141293688534812 51.96902187659083,4.138761681915081 51.96992081493585,4.134226960977127 51.97137494042258,4.129105729461467 51.97348113561836,4.117990652684408 51.97772726857596
Port of Elizabeth;USEZA;-74.17717337792237 40.66905353334872,-74.16377960482731 40.6906660634582,-74.1374425097349 40.67417869674341,-74.14819121893925 40.65815900846926,-74.17717337792237 40.66905353334872
CAT LAI;VNOCL;106.799884441194 10.76786515778596,106.8030135776251 10.76533692762459,106.8017118124015 10.76134574996158,106.7906205111982 10.75584012848869,106.7868387218141 10.76063404590302,106.799884441194 10.76786515778596
BROOKLYN;USBOC;-73.85400562635846 40.64243722769586,-73.91454486497902 40.57406190270123,-74.0121629819762 40.56484717993058,-74.02489453759263 40.60067752067769,-74.03725415673325 40.60680304313408,-74.04532223621136 40.62005136483469,-74.04040127848492 40.64341413537272,-74.02134686564312 40.66129980091586,-74.02216514497171 40.68024480586408,-74.00924047554484 40.68781656966962,-74.00042852311503 40.70241527790293,-73.9951642426347 40.70486615817487,-73.97905668430371 40.70673137028274,-73.97190412605755 40.70975680620003,-73.9677293649303 40.71992254308822,-73.96338060830128 40.7262973070109,-73.9650113913823 40.7336036839751,-73.95837381988635 40.7388282253323,-73.95515839012447 40.73949666254504,-73.95062366787683 40.73879213838651,-73.94179741120539 40.7355729130083,-73.94086758049312 40.73440224697458,-73.93942276303063 40.73123701040933,-73.93760601433098 40.72984946102733,-73.93537441643059 40.72894970727091,-73.92980972592126 40.72813666600578,-73.92797867036064 40.72672737061714,-73.92447391899407 40.72049359256533,-73.92405906979332 40.71826013098425,-73.85400562635846 40.64243722769586
HOBOKEN;USHBK;-74.04510989707283 40.7357043863405,-74.03412356894785 40.7586799092845,-74.01575580161385 40.7552991038585,-74.02199283338938 40.73271264922286,-74.04510989707283 40.7357043863405
Qingdao Liuting;CNTAO;120.2990223542575 36.07930331714218,120.3050734177951 36.099255813417,120.3134848252658 36.10706897061476,120.333869613779 36.10126696623864,120.3106122189163 36.06768374453939,120.2990223542575 36.07930331714218
Port of Bolama;GWBOL;-15.479176953861268 11.573981416568168,-15.479176953861268 11.585558863577864,-15.4651833849545 11.585558863577864,-15.4651833849545 11.573981416568168,-15.479176953861268 11.573981416568168
Okpo;KROKP;128.7098026298336 34.90555374896608,128.7300118489075 34.8857463312894,128.7118313542451 34.85879545709555,128.679215692624 34.87432049773751,128.7098026298336 34.90555374896608
Port of Huangdao;CNQAW;120.2151186145056 36.04424405608231,120.2041295717857 36.05914598465195,120.2034715360708 36.07332265619722,120.2251008695669 36.07251329095919,120.246587155408 36.05812831202495,120.245499964941 36.04043256781871,120.2151186145056 36.04424405608231
